CR004085762,WPC2,SME_WPC2_003,004873467X,MS14121,,MS_Infrastructure,BMICH Sound,SME Solution,DATA,"309,600.00",
CR004419380,WPC2,SME_WPC2_005,0048674104,SUPPLY AND INSTALLATION OF WIFI SOLUTION MS13978,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 133,445.92 "," (5,995.18)"
CR004421393,WPE,SME_WPE_001,0048707339,SMEDS_3271_2021 MS14064,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 130,829.33 "," 5,688.23 "
CR004418837,WPE,SME_WPE_002,0048673900,SMEDS_3256_2021 MS13953,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 177,131.44 "," 7,701.37 "
CR004421066,WPE,SME_WPE_002,0048702013,SMEDS_3269_2021 MS12000,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 177,131.44 "," 7,701.37 "
CR000298700,WPE,SME_WPE_003,0048701379,SMEDS_3270_2021 MS14051,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 130,829.33 "," 5,688.23 "
CR004158390,WPE,SME_WPE_003,004822754X,PABX/0245/2021/VST/APG/CH MS13316,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 2,652.00 ",
CR004081573,WPE,SME_WPE_004,0046835577,SMEDS_0881_2022 MS14634,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 33,800.00 "," 2,600.00 "
CR001022042,WPN,SME_WPN_002,0049486661,MS14775 MS14775,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 39,000.00 ",
CR000094103,WPN,SME_WPN_004,0000941038,PABX/0115/2022/REP MS14715,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 21,125.27 ",
CR004433459,WPN,SME_WPN_004,0049124660,SMEDS_0264_2022 MS14544,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 999,419.40 "," 79,319.00 "
CR004377536,WPN,SME_WPN_005,0048051297,SMEDS_2060A_2021 MS13210,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 130,829.33 "," 5,688.23 "
CR004380139,WPN,SME_WPN_005,0048088440,SMEDS_1460_2021 MS13177,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 107,093.39 "," 4,656.24 "
CR004090597,WPNE,SME_WPNE_003,0049530936,"Rewiring of 3 Extension points only (EXT 215, 200, 213, 209) MS14745",1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 49,809.35 ",
CR001019163,WPNE,SME_WPNE_004,0047063458,SMEDS_1100B_201 MS12765,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 1,538,820.00 "," 128,235.00 "
CR001019163,WPNE,SME_WPNE_004,0049087310,SMEDS_022_2022 MS14503,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 146,137.60 "," 11,417.00 "
CR004260351,WPS,SME_WPS_002,0049061451,SME Pothuvila MS14485,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 886,765.00 "," 38,555.00 "
CR004464046,WPS,SME_WPS_002,0049354841,PABX Katugahahena MS14690,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 923,224.02 "," 4,356.70 "
CR004443695,WPS,SME_WPS_003,0049049189,WIFI SOLUTION MS14497,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 918,309.50 "," 39,926.50 "
CR004203199,WPS,SME_WPS_005,0049403928,PBX SOLUTION MS14732,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 229,174.40 "," 17,904.25 "
CR001559560,WPSE,SME_WPSE_002,0048853419,PABX/0132/2022/OTH/SLT/CH MS14713,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 22,107.94 ",
CR004247792,WPSE,SME_WPSE_002,0046331316,SMEDS_0272_2022 MS14624,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 257,280.00 "," 20,100.00 "
CR004426360,WPSE,SME_WPSE_002,0048785032,Supply and Installation of DATA / Voice / WiFi Access Point / ELV Solutions MS14764,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 352,139.69 ",
CR004408413,WPSW,SME_WPSW_005,0048500262,NEC SL2100 Voice Solution (National campaign) MS14501,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 122,250.00 ",
CR004413320,CPN,SME_CPN_002,0048577309,ICT MS13747,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004426085,CPN,SME_CPN_002,0048780937,ICT MS14204,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004437562,CPN,SME_CPN_002,0048958234,ICT MS14367,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004437574,CPN,SME_CPN_002,0048958413,ICT MS14368,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004475216,CPN,SME_CPN_004,0049525314,ICT Infrastructure Solution MS14401,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR003636023,NCP,SME_NCP_001,0045408065,PABX/0371/2020/R/SLT/WJ/RGN MS14750,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004150188,NCP,SME_NCP_001,0044946225,SMEDS-0890-2020 MS11779,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA," 14,820.00 ",
CR004417936,NWPE,SME_NWPE_001,0048801943,SMEDS_2737A_2021 MS14109,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004417880,NWPE,SME_NWPE_002,0048775518,SMEDS_2575A_2021 MS14197,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004414278,NWPW,SME_NWPW_001,0048592984,SMEDS_2700_2021 MS13791,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR000243623,SAB,SME_SAB_001,0043874574,PABX/0136/2022 MS14748,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004440827,SAB,SME_SAB_002,0049006123,SMEDS_065_392_R1_2022 MS14426,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_DH Madampagama MS13719,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_DH Urugamuwa MS13714,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_DH Mawarala MS13713,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_DH Ranna MS13715,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_DH Akuressa MS13705,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_DH Habaraduwa MS13721,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_DH Tissa Kirinda MS13718,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_PMCU Lankagama MS13724,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004450557,SPW,SME_SPW_003,0049150324,SMEDS_060PBX_2022 MS11974,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004416375,SPW,SME_SPW_004,0048626196,SMEDS_2200_2021 MS13862,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004414059,UVA,SME_UVA_001,0048609432,SMEDS_1351D_078_2021 MS13819,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004414067,UVA,SME_UVA_003,0048697534,SMEDS_1351D_075_2021 MS14050,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR001029741,WPC2,SME_WPC2_005,0004454030,PABX/0064/2022/OTH/SLT/CH St. Josephs College Colombo 10 MS14519,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004475205,WPC2,SME_WPC2_005,0049525135,MS14696,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,Data," 200,000.00 ",
CR004421393,WPE,SME_WPE_001,0048707339,SMEDS_3271_2021 MS14064,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004418837,WPE,SME_WPE_002,0048673900,SMEDS_3256_2021 MS13953,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004421066,WPE,SME_WPE_002,0048702013,SMEDS_3269_2021 MS12000,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR000298700,WPE,SME_WPE_003,0048701379,SMEDS_3270_2021 MS14051,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004158390,WPE,SME_WPE_003,004822754X,PABX/0245/2021/VST/APG/CH MS13316,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004433459,WPN,SME_WPN_004,0049124660,SMEDS_0264_2022 MS14544,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004260351,WPS,SME_WPS_002,0049061451,SME Pothuvila MS14485,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004464046,WPS,SME_WPS_002,0049354841,PABX Katugahahena MS14690,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004443695,WPS,SME_WPS_003,0049049189,WIFI SOLUTION MS14497,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004203199,WPS,SME_WPS_005,0049403928,PBX SOLUTION MS14732,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004247792,WPSE,SME_WPSE_002,0046331316,SMEDS_0272_2022 MS14624,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA, -   ,
CR004412944,WPSW,SME_WPSW_006,0048571504,MS13762,,MS_Infrastructure Startup,MS_ICT Infrastructure,SME Solution,DATA," 916,516 "," 39,848.50 "
CR004452879,EP,SME_EP_002,0049185087,SMEDS_0334B_2022 MS14525,2349,MS_PABX Solution,PABX,SME Solution,DATA, -   ,
CR004452879,EP,SME_EP_002,0049185087,SMEDS_0334B_2022 MS14525,2350,MS_PABX Startup,PABX,SME Solution,DATA," 102,144.00 "," 7,980.00 "
CR001059507,EP,SME_EP_004,0045589839,PABX MS14603,2350,MS_PABX Startup,PABX,SME Solution,DATA," 22,620.00 ",
CR004408376,EP,SME_EPN_001,0048499301,PABX/0284/2021/OTH/FNT/CH,(blank),2350,PABX,SME Solution,DATA," 200,000.00 ",
CR004430720,EP,SME_EPN_002,0048852522, SMEDS_0304A_2022 MS14281,2349,MS_PABX Solution,PABX,SME Solution,DATA, -   ,
CR004430720,EP,SME_EPN_002,0048852522, SMEDS_0304A_2022 MS14281,2350,MS_PABX Startup,PABX,SME Solution,DATA," 395,514.00 "," 31,390.00 "
CR004440827,SAB,SME_SAB_002,0049006123,SMEDS_065_392_R1_2022 MS14426,2349,MS_PABX Solution,PABX,SME Solution,DATA, -   ,
CR004440827,SAB,SME_SAB_002,0049006123,SMEDS_065_392_R1_2022 MS14426,2350,MS_PABX Startup,PABX,SME Solution,DATA," 906,947.50 "," 39,432.50 "
CR001019163,WPNE,SME_WPNE_004,0049087442,SMEDS_0251_2022 MS14504,2349,MS_PABX Solution,PABX,SME Solution,DATA, -   ,
CR001019163,WPNE,SME_WPNE_004,0049087442,SMEDS_0251_2022 MS14504,2350,MS_PABX Startup,PABX,SME Solution,DATA," 219,606.40 "," 17,156.75 "
